MACsrc,ip_src,ip_dst,op,entropia_src,entropia_dst,cant_pkt_arp,cant_pkt_total
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,0.0,0.0,1,18
ac:86:74:07:88:d7,0.0.0.0,0.0.0.0,2,0.0,0.0,2,19
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,0.0,0.0,3,21
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,0.0,0.0,4,26
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,0.0,0.0,5,49
00:1c:26:15:7c:70,172.17.31.152,172.17.31.132,1,0.650022421648,0.650022421648,6,50
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.118,1,1.14883485428,1.14883485428,7,59
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,1.5487949407,1.5487949407,8,62
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,1.87996494873,1.87996494873,9,63
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.118,1,1.96096404744,1.96096404744,10,67
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,1.86763389097,1.86763389097,11,68
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,1.95914791703,1.95914791703,12,69
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.04584164089,2.04584164089,13,70
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,2.07416474302,2.07416474302,14,79
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.1055872617,2.1055872617,15,80
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.31127812446,2.31127812446,16,87
00:14:d1:25:71:e5,10.100.250.3,10.100.250.113,1,2.49807754662,2.49807754662,17,99
00:14:d1:25:71:e5,10.100.250.3,10.100.250.113,1,2.55772777874,2.55772777874,18,100
60:36:dd:98:b7:eb,172.17.31.136,172.17.31.1,1,2.72058277615,2.54978738152,19,107
60:36:dd:98:b7:eb,172.17.31.136,172.17.31.1,1,2.77095059445,2.52821294584,20,108
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.71797173427,2.4867930213,21,115
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.6635327548,2.44286216516,22,119
ac:86:74:09:71:67,0.0.0.0,0.0.0.0,2,2.60881847704,2.39774226086,23,120
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.55458516934,2.35230379549,24,132
8c:29:37:6f:a0:4d,172.17.31.25,172.17.31.1,1,2.69469395165,2.34449845156,25,133
60:36:dd:98:b7:eb,172.17.31.136,172.17.31.1,1,2.72028804678,2.3302222987,26,135
60:36:dd:98:b7:eb,172.17.31.136,172.17.31.1,1,2.72788542982,2.31139978175,27,136
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.6800862503,2.27847508966,28,164
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,1,2.69216598454,2.26012029443,29,170
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,2,2.70509900211,2.28745483501,30,171
24:fd:52:29:19:e6,172.17.31.149,172.17.31.149,1,2.82343025216,2.41925847755,31,176
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.78063906223,2.38909765557,32,177
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.738160291,2.35848377545,33,190
24:fd:52:29:19:e6,172.17.31.149,172.17.31.1,1,2.7902358902,2.34260997994,34,203
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.132,1,2.81898005015,2.40571166595,35,256
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.83365510322,2.5220084102,36,257
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.1,1,2.83876804643,2.50244082128,37,258
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.83699353081,2.55952056237,38,268
40:25:c2:98:12:e8,172.17.31.154,172.17.31.1,1,2.93628705629,2.53860051772,39,269
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.92799807513,2.57492424872,40,271
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.91594916716,2.59839916695,41,280
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.90100691447,2.61291487947,42,285
40:25:c2:98:12:e8,172.17.31.154,172.17.31.1,1,2.94638007217,2.593216542,43,288
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.1,1,2.92931804398,2.57265148866,44,306
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.90246976616,2.55372913428,45,308
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.132,1,2.88537246228,2.58942139531,46,309
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.1,1,2.86687568322,2.57010255764,47,313
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.84281856441,2.55222821229,48,315
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.818392497,2.53373256022,49,347
f8:d1:11:74:5e:82,172.17.31.54,172.17.31.1,1,2.9034651896,2.51656563024,50,359
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.8781818457,2.49886855221,51,390
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.85278202517,2.48076321809,52,397
ac:86:74:09:70:ff,0.0.0.0,0.0.0.0,2,2.82735115713,2.46235157283,53,398
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.87099541394,2.5127550812,54,402
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.89981316323,2.54808629108,55,404
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.87497993262,2.52953389748,56,427
ac:86:74:07:88:d7,0.0.0.0,0.0.0.0,2,2.85020398979,2.51081841141,57,428
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.82553387235,2.49199976946,58,429
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.84041298842,2.57371235294,59,437
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.8164572127,2.55420158781,60,438
ac:86:74:09:71:62,172.17.31.179,172.17.31.201,1,2.890966797,2.63301044464,61,439
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.90054893128,2.67740049639,62,440
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.90636171787,2.70876836842,63,444
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.90911933594,2.73185405519,64,454
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.9093572359,2.74896810622,65,466
90:a4:de:c5:b9:ec,172.17.31.138,172.17.31.152,1,2.97855036916,2.82059137781,66,469
60:36:dd:98:b7:eb,172.17.31.136,172.17.31.152,1,2.99212907124,2.86055216147,67,474
00:1c:26:15:7c:70,172.17.31.152,172.17.31.136,1,3.0292962532,2.92906606268,68,476
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.02670874774,2.93937785573,69,479
90:a4:de:c5:b9:ec,172.17.31.138,172.17.31.152,1,3.06292181804,2.96605440302,70,481
00:1c:26:15:7c:70,172.17.31.152,172.17.31.138,1,3.08777287407,3.03107102127,71,482
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.08333280308,3.03704010666,72,491
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.07748975771,3.04028718942,73,502
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.07044516546,3.04127021721,74,520
24:fd:52:29:19:e6,0.0.0.0,172.17.31.149,1,3.05170159929,3.07621131739,75,524
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,3.0329132165,3.05789161856,76,528
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,3.01410972907,3.03951338825,77,544
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.00779494876,3.03937672304,78,549
24:fd:52:29:19:e6,0.0.0.0,172.17.31.149,1,2.98955420445,3.06397218898,79,551
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.142,1,2.98555230386,3.12261714268,80,561
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.97922712255,3.12035194076,81,563
24:fd:52:29:19:e6,0.0.0.0,172.17.31.149,1,2.96201019283,3.13774157132,82,565
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.94479919511,3.12034685957,83,569
ac:86:74:09:71:62,172.17.31.179,172.17.31.141,1,2.97910385602,3.17637119114,84,574
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.97284292822,3.17285816365,85,576
24:fd:52:29:19:e6,172.17.31.149,172.17.31.149,1,2.99764303173,3.18539352057,86,580
24:fd:52:29:19:e6,172.17.31.149,172.17.31.1,1,3.01643107432,3.17625620347,87,581
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.00950606211,3.17206842814,88,584
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.0019667939,3.1669108092,89,595
00:14:d1:25:71:e5,10.100.250.3,10.100.250.113,1,3.0260740052,3.18918530923,90,604
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.01799144316,3.18317386147,91,615
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.00943119439,3.17641921768,92,632
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,3.00044769225,3.16900827098,93,649
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.99108923694,3.16101670321,94,667
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.98139883818,3.15251082216,95,676
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.96799726974,3.13893870309,96,677
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.95453109035,3.12525036969,97,678
ac:86:74:09:71:67,0.0.0.0,0.0.0.0,2,2.94101653487,3.11146728419,98,679
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.93219379852,3.1036423775,99,680
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.92309194916,3.09539804982,100,686
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.91027653226,3.08226016587,101,693
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.90128359759,3.07399482494,102,694
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.89206375229,3.06539040955,103,696
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.88264199628,3.05648282252,104,708
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.87304100229,3.04730435699,105,718
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.86328136849,3.03788413571,106,722
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.85338183801,3.02824848467,107,725
ac:86:74:09:71:62,172.17.31.179,172.17.31.133,1,2.87729492457,3.07605065322,108,730
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.86726769397,3.06599758217,109,733
90:a4:de:c5:b9:ec,172.17.31.138,172.17.31.1,1,2.89086152934,3.06217665289,110,736
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.88072391861,3.05220282391,111,764
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.87049298579,3.04164942684,112,771
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.86018156549,3.03098489302,113,778
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.85053530788,3.02144967336,114,783
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.84079782914,3.01177208046,115,795
ac:86:74:09:71:62,172.17.31.179,172.17.31.100,1,2.85983687439,3.05731231749,116,798
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.85004751904,3.04692392861,117,801
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.84052858391,3.03719824494,118,804
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,2.83093556668,3.05135450787,119,809
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.84679374666,3.04835642789,120,810
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,2.83718478392,3.05998526491,121,811
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.85054694915,3.05653919167,122,812
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,2.8409480955,3.0661414708,123,813
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.85230616635,3.0623093166,124,814
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.8427377637,3.05331233932,125,817
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.83312656227,3.04420275023,126,823
ac:86:74:09:71:62,172.17.31.179,172.17.31.156,1,2.84874008843,3.05233634522,127,833
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.179,2,2.85842594114,3.09440437987,128,834
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.84890803758,3.08512331459,129,837
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.83935833766,3.07575394513,130,847
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.82978301249,3.0663063809,131,851
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.82018778087,3.05678996568,132,858
ac:86:74:09:71:62,172.17.31.179,172.17.31.142,1,2.83351272716,3.08262267396,133,859
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.82395611692,3.07300568814,134,865
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.8169762909,3.06509767132,135,867
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.80989094924,3.05707248122,136,871
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.80072110951,3.04781656307,137,872
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.79153802657,3.03850971317,138,879
f8:d1:11:74:5e:82,172.17.31.54,172.17.31.1,1,2.81862360964,3.03598521409,139,883
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.81175752842,3.02840259688,140,887
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.80269921963,3.01940271143,141,894
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.793633191,3.01035971759,142,911
ac:86:74:09:71:62,172.17.31.179,172.17.31.138,1,2.80525674029,3.03544468593,143,933
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.79623909693,3.07414020233,144,967
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.7872198269,3.0648841394,145,972
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.77820221709,3.05559842221,146,981
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.79598544417,3.07149460026,147,983
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.78697961277,3.09565520041,148,984
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.7779807718,3.08633235203,149,1006
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.79317459033,3.09947049336,150,1036
ac:86:74:07:88:d2,172.17.31.227,172.17.31.139,1,2.80630706015,3.1105745135,151,1076
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.79737592827,3.12912980553,152,1088
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.139,1,2.78845518832,3.13844038483,153,1091
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.77954717038,3.12924896211,154,1101
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.7743095647,3.1224904596,155,1110
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.76556669012,3.13759212863,156,1111
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.139,1,2.75683833929,3.14553227996,157,1125
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.75179121209,3.13872783296,158,1128
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.74322327883,3.12992141685,159,1129
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.73467133108,3.1425498131,160,1153
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.72613708839,3.13375472027,161,1178
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.71762215742,3.14452134892,162,1185
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.70912803882,3.13575104338,163,1186
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.70065613363,3.12696571181,164,1198
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.69220774924,3.13627456897,165,1200
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.68378410502,3.12752717608,166,1205
90:a4:de:c5:b9:ec,172.17.31.138,172.17.31.148,1,2.70110850404,3.16162624233,167,1216
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.69270902409,3.1694867685,168,1218
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.68433603599,3.16068731399,169,1227
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.67599053056,3.15188146735,170,1238
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.6676734297,3.14307199547,171,1246
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.65938559039,3.15000432544,172,1254
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.65112780845,3.14125316854,173,1255
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.642900822,3.14728923631,174,1264
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.63470531478,3.1386014185,175,1265
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.62654191923,3.12991535021,176,1271
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.61841121938,3.13523645348,177,1272
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.61031375361,3.12661897988,178,1284
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.60225001719,3.1312561432,179,1285
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.59422046468,3.12271048343,180,1291
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.58622551227,3.1267418172,181,1294
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.57826553984,3.11827058249,182,1299
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.57034089306,3.10980600137,183,1302
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.56245188522,3.11336725644,184,1303
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.55459879907,3.10497990016,185,1307
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.54678188852,3.10805838804,186,1308
43:05:43:05:00:00,0.0.0.0,0.0.0.0,2,2.54475645364,3.10361039724,187,1319
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.53706914173,3.10623374114,188,1326
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.156,1,2.52941703594,3.1134589015,189,1327
d0:df:9a:16:c7:12,172.17.31.156,172.17.31.1,2,2.53968022202,3.11325289689,190,1328
00:1c:26:15:7c:70,172.17.31.152,172.17.31.136,1,2.55659932072,3.1336879109,191,1331
00:1c:26:15:7c:70,172.17.31.152,172.17.31.138,1,2.57148293629,3.15001769512,192,1332
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.56388408553,3.14198673936,193,1335
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.5563194748,3.14410028653,194,1339
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.54878928312,3.13614291045,195,1346
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.142,1,2.55546110154,3.15227907296,196,1348
00:14:d1:25:71:e5,10.100.250.3,10.100.250.113,1,2.5720118903,3.16580032888,197,1349
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.56454886493,3.16747113842,198,1350
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.55711950424,3.15959231201,199,1353
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.142,1,2.56324664893,3.17298348029,200,1355
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.55589328868,3.17430286219,201,1357
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.153,1,2.54857308582,3.1665061436,202,1359
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.142,1,2.554283714,3.17797572515,203,1361
d4:ca:6d:f7:fd:64,172.17.31.1,172.17.31.151,1,2.54703934751,3.17898388057,204,1362
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.132,1,2.55233077672,3.19212804768,205,1367
98:fe:94:46:c9:a6,172.17.31.132,169.254.255.255,1,2.55719279468,3.20199904585,206,1368
98:fe:94:46:c9:a6,172.17.31.132,172.17.31.1,1,2.56165427332,3.2016778745,207,1371
ac:86:74:09:71:62,172.17.31.179,172.17.31.132,1,2.57237298174,3.21287183037,208,1372
78:e4:00:4d:cb:69,172.17.31.148,172.17.31.132,1,2.60382860016,3.22260193023,209,1375
78:e4:00:4d:cb:69,172.17.31.148,172.17.31.132,1,2.62549370257,3.23112187654,210,1391
