MACsrc,ip_src,ip_dst,op,entropia_src,entropia_dst,cant_pkt_arp,cant_pkt_total
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.22,1,0.0,0.0,1,1
00:1b:21:7f:6c:fd,10.2.0.254,10.2.0.205,1,1.0,1.0,2,9
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,1.58496250072,1.58496250072,3,12
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,2.0,1.5,4,15
9c:b7:0d:da:01:ac,10.2.202.141,10.2.200.189,1,2.32192809489,1.92192809489,5,16
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.25,1,2.25162916739,2.25162916739,6,18
9c:b7:0d:da:01:ac,10.2.202.141,10.2.203.37,1,2.23592635063,2.52164063634,7,19
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,2.5,2.40563906223,8,20
88:32:9b:51:83:05,10.2.203.37,10.2.202.141,1,2.725480557,2.64160416787,9,23
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,2.72192809489,2.52192809489,10,25
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,2.73215889136,2.40400975732,11,26
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,2.91829583405,2.61749246118,12,27
9c:b7:0d:da:01:ac,10.2.202.141,10.2.200.189,1,2.87314067951,2.65354429703,13,28
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,2.89629152905,2.55665670746,14,30
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,2.87290559532,2.46345829865,15,32
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,2.85845859334,2.375,16,36
9c:b7:0d:da:01:ac,10.2.202.141,10.2.200.189,1,2.82218195864,2.39599887053,17,37
10:78:d2:6e:fc:78,10.2.201.39,10.2.203.254,1,2.9749375012,2.32080208393,18,41
00:1b:21:7f:6c:fd,10.2.203.254,10.2.201.39,2,3.11583409216,2.49612685475,19,42
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.10869496956,2.42321967234,20,46
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.08232813686,2.35381097958,21,49
00:1b:21:7f:6c:fd,10.2.0.254,10.2.0.205,1,3.11807820935,2.42267546831,22,52
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.09943641248,2.35945597733,23,54
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.06977383503,2.29910400747,24,58
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,3.10927507071,2.36943203625,25,60
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,3.11892373819,2.51349341668,26,62
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.11175683636,2.45644837583,27,63
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.09399176309,2.40170326362,28,64
00:27:0e:38:3c:9d,10.2.6.5,10.2.6.249,1,3.2036993244,2.53528284215,29,65
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.17774716291,2.48172767887,30,69
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.7,1,3.17615064978,2.60726445548,31,73
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.15563906223,2.55494513114,32,77
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.1465398623,2.50458995184,33,78
00:27:0e:38:37:82,10.2.6.19,10.2.6.249,1,3.24542782704,2.56353526689,34,79
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.22154301885,2.51598272387,35,82
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,3.21490999012,2.57366082762,36,83
00:27:0e:38:3c:85,10.2.6.18,10.2.6.205,1,3.30727659786,2.6833584938,37,85
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.28681567508,2.63757358187,38,86
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.27457184995,2.59325982449,39,87
00:1b:21:7f:6c:fd,10.2.203.254,10.2.200.22,1,3.3113684852,2.69708926037,40,88
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.28996907942,2.65359144091,41,89
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,3.28110231652,2.68714431291,42,97
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.26301940566,2.64599266183,43,98
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.24241173178,2.60604809542,44,100
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,3.32410031807,2.70187809585,45,104
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,3.4029342382,2.79423858602,46,106
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.3827122552,2.75445736766,47,107
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.360625918,2.71577067414,48,111
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,3.35124320288,2.7378461671,49,112
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,3.38565888136,2.7845297863,50,113
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.36654649184,2.74817338,51,114
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.3592564334,2.71273153891,52,115
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.33969408357,2.67817825908,53,119
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,3.35987111022,2.71060557877,54,120
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,3.35082515515,2.72679854375,55,124
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,3.37102834683,2.75814506778,56,125
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.35449080243,2.72620543786,57,126
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.34733839833,2.69497429508,58,127
00:1b:21:7f:6c:fd,10.2.203.254,10.2.200.22,1,3.3678607084,2.73934832728,59,129
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.35125792361,2.70898554593,60,130
